[System: 192.168.1.77] INFO | 07-28-2025 13:33:21.215 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:21.262 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:31.293 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:32.215 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:33:37.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:33:37.214 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:33:37.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:37.276 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:33:43.212 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:33:43.212 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:33:43.227 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:43.274 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:34:00.001 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:34:00.001 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:34:00.001 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:34:00.047 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:34:13.272 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:34:14.218 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
