[System: 192.168.1.59] INFO | 11-11-2025 13:37:18.080 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:37:18.080 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:37:18.158 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:37:32.810 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:37:32.810 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:37:32.810 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:37:32.904 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:38:19.084 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:38:19.084 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:38:19.084 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:38:19.162 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:38:33.826 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:38:33.826 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:38:33.826 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:38:33.920 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:39:20.074 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:39:20.074 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:39:20.074 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:39:20.121 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:39:34.806 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:39:34.806 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:39:34.822 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:39:34.900 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:40:21.087 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:40:21.087 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:40:21.087 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:40:21.134 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:40:35.851 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:40:35.882 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:40:35.882 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:40:35.882 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:40:35.882 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:40:35.976 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:41:17.088 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:41:22.081 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:41:22.081 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:41:22.081 | Common:: DecodeBase64 START
